label,qubits,system_size,p,state_norm,simulation_time,MPI_nodes,fun,nfev,success
equal,18.589128092310222,394353,1,1.000000000000001,406.47036242485046,24,285.7561676974693,3,True
equal,18.589128092310222,394353,1,1.0000000000000009,0.02324533462524414,24,285.75616769746927,3,True
equal,18.589128092310222,394353,1,1.000000000000001,0.023778676986694336,24,285.7561676974693,3,True
equal,18.589128092310222,394353,2,0.9999999999987588,1.4393243789672852,24,285.756086650131,105,False
equal,18.589128092310222,394353,2,0.9999999999973258,1.3765647411346436,24,285.75608664833203,100,True
equal,18.589128092310222,394353,2,0.9999999999971795,1.8587138652801514,24,285.7560866480973,135,False
equal,18.589128092310222,394353,3,0.9999999969710773,7.3857786655426025,24,270.28164101916104,368,False
equal,18.589128092310222,394353,3,0.999999999600284,7.836447477340698,24,270.2816141002057,397,False
equal,18.589128092310222,394353,3,0.9999999938197488,10.695594310760498,24,270.2816447189292,529,False
equal,18.589128092310222,394353,4,0.9999999996152513,11.616569519042969,24,270.2816173548719,444,False
equal,18.589128092310222,394353,4,0.9999999996686965,11.664100408554077,24,270.2816315824966,444,False
equal,18.589128092310222,394353,4,0.9999999996580051,9.909367561340332,24,270.2832855395376,380,False
equal,18.589128092310222,394353,5,0.9999999995176118,13.70206594467163,24,270.28248124744033,419,False
equal,18.589128092310222,394353,5,0.9999999996034403,15.365885496139526,24,270.28277792992543,474,False
equal,18.589128092310222,394353,5,0.999999999621017,16.480786561965942,24,270.28179595856136,507,False
equal,18.589128092310222,394353,6,0.9999999996238497,16.582162857055664,24,270.282649315168,428,False
equal,18.589128092310222,394353,6,0.9999999997777886,27.857958793640137,24,270.2822018742525,714,False
equal,18.589128092310222,394353,6,0.9999999997111715,19.782332181930542,24,270.2816880711743,506,False
equal,18.589128092310222,394353,7,0.9999999996605359,27.857802152633667,24,270.2816814936053,612,False
equal,18.589128092310222,394353,7,0.999999999724606,33.08830380439758,24,270.2817037026704,732,False
equal,18.589128092310222,394353,7,0.9999999996146689,24.4132821559906,24,270.2818039793635,537,False
equal,18.589128092310222,394353,8,0.9999999996439781,41.200814962387085,24,270.2817826060755,794,False
equal,18.589128092310222,394353,8,0.9999999997264295,38.5054497718811,24,270.2837406291668,743,False
equal,18.589128092310222,394353,8,0.9999999997755332,38.64644455909729,24,270.28338014054765,743,False
