,qwoa_1_2,qwoa_2_2,qwoa_3_3,qwoa_4_2,qwoa_5_1,qwoa_6_1,qwoa_7_3,qwoa_8_2,qwoa_9_2,qwoa_10_1
109.0,0.1538461538461539,0.402627867263432,0.35322656592334806,0.14006113474798243,0.3801038701481773,0.46650294264027536,0.8661042511741857,0.9099971770963782,0.9195517667539763,0.9598008301894121
111.0,0.1538461538461539,0.04214095596550631,0.02209354532054092,0.2494412102833048,0.37792300275318835,0.383133648304833,0.06297505494788887,0.07952557004362612,0.07429362047674218,0.03541977392361509
112.0,0.07692307692307693,0.057213247024265515,0.1667951593582123,0.24173783194379045,0.026714539047777316,0.011287496988998993,0.04652518210557493,0.004904352130767639,0.0006288042325620447,0.0017544219291804315
120.0,0.07692307692307693,0.02142395189950767,0.06151466219370606,0.13940282972934373,0.01469162467843578,0.0033785990250140454,0.003782896247218174,0.00025844203094483524,0.00025334069322656026,0.00022509256576145286
122.0,0.07692307692307693,0.2010533025469479,0.12108440745060974,0.025616818403353718,0.04936967918322802,0.06846405084327334,0.01344091577651655,0.0026044755660174935,0.0029632753447236086,0.0009132120678068986
124.0,0.07692307692307693,0.01229226503517665,0.028272908983897022,0.07774265316159955,0.05524747104955143,0.035096684524620905,0.003027656821040471,0.0010175659843994211,0.0006150038083276083,0.0012029427264271756
130.0,0.07692307692307693,0.20556253144194783,0.22652132022489932,0.06891352336684406,0.0782291995150284,0.023142117293047795,0.0007268125928070277,0.0012859281276678617,0.0013427959809868132,0.00041132605934075773
132.0,0.15384615384615385,0.029522253473446825,0.00768194872264572,0.028933177516646126,0.017524723704869332,0.00739706500151739,0.002384244105141646,0.00019551206302091277,0.0001764858950087866,0.00012890655015466767
145.0,0.07692307692307693,0.017153789108522357,0.010332544145791208,0.02791323648890393,8.127562523286491e-05,0.0014945183203729602,0.0010026960658409511,0.00020822832853588662,0.00017412444021941341,0.00012791270349674506
153.0,0.07692307692307693,0.011009836241251368,0.002476937676365771,0.00023758435826271945,0.00011461429456568823,0.00010287705809198073,3.0290163847518174e-05,2.748628707353541e-06,7.823742949803826e-07,1.5581284877923065e-05
